"food","intake","energy","protein","fat","carbs","sugar","alcohol","ghge"
"Bread",175.4,10.696,0.091,0.03,0.441,0.002,0,0.001
"Other grains",45,14.022,0.1,0.042,0.607,0.011,0,0.002
"Cakes",35.6,14.185,0.067,0.152,0.424,0.185,0,0.002
"Potatoes",67.8,3.791,0.021,0.007,0.178,0,0,0
"Vegetables",154.6,1.565,0.015,0.008,0.05,0.005,0,0.001
"Legumes",3.5,8.571,0.143,0.029,0.286,0,0,0.001
"Fruit, berries",171.5,2.729,0.008,0.004,0.134,0.029,0,0.001
"Juice",111,1.928,0.005,0.002,0.103,0,0,0.001
"Nuts",4.3,25.581,0.209,0.535,0.116,0,0,0.005
"Vegetarian products",0.7,4.286,0.143,0,0,0,0,0.003
"Red meat",117.6,8.342,0.173,0.139,0.014,0,0,0.013
"White meat",33.5,5.642,0.203,0.057,0.003,0,0,0.004
"Fish",69.5,6.086,0.17,0.075,0.024,0.006,0,0.003
"Eggs",24.6,6.179,0.13,0.106,0.004,0,0,0.002
"Cream, cream desserts",23.4,8.761,0.03,0.154,0.15,0.081,0,0.002
"Milk, yoghurt",306.1,1.98,0.036,0.011,0.056,0.01,0,0.001
"Cheese",43.4,13.502,0.217,0.242,0.048,0.002,0,0.01
"Butter, margarine, oil",30.1,23.389,0.013,0.615,0.023,0.007,0,0.005
"Sugar, sweets",16.9,17.988,0.053,0.178,0.609,0.444,0,0.004
"Coffee, tea",695.4,0.072,0.002,0,0.001,0,0,0
"Soda, saft",237.6,0.922,0,0,0.053,0.049,0,0
"Water",1139.2,0,0,0,0,0,0,0
"Alcoholic beverages",141.8,2.292,0.003,0,0.027,0.005,0.061,0
"Non-dairy milk",2.6,2.308,0.038,0.038,0.038,0,0,0
"Snacks",4.9,20.816,0.082,0.286,0.51,0,0,0.004
"Sauces",22.2,4.459,0.027,0.068,0.081,0.023,0,0.001
"Spices",0.9,3.333,0,0,0.111,0,0,0
"Other",2.1,11.429,0.333,0.048,0.19,0,0,0.006
